Student,LPIPS,SSIM
110590456.png,0.0,1.0
112590020.png,0.25690609216690063,0.6604934659835657
109810011.png,0.257512629032135,0.6587976766420456
112590060.png,0.2686789631843567,0.6966457601534531
112590026.png,0.2719636857509613,0.6664668490684978
112590035.png,0.27561742067337036,0.6265437776392065
112590021.png,0.2795575261116028,0.6349415379589257
111332012.png,0.2856079339981079,0.6666331032034555
112590023.png,0.2876630127429962,0.7200560456246903
112590007.png,0.28890031576156616,0.6870288568055662
112590017.png,0.2936825752258301,0.7089650989674362
112590036.png,0.30837684869766235,0.6961779923198604
112590022.png,0.3115670680999756,0.6594068577825772
112590057.png,0.32515949010849,0.6241695140322744
112590038.png,0.32604289054870605,0.6831786734314279
112590009.png,0.33131173253059387,0.6332149217523201
112590041.png,0.33762475848197937,0.6671845631092533
112590029.png,0.361391544342041,0.7236155952840794
112590059.png,0.36870452761650085,0.6818989556434745
112590031.png,0.3710653781890869,0.5350362457390254
112590005.png,0.37754857540130615,0.6429491272260331
113378043.png,0.38459905982017517,0.6571082233198365
112590056.png,0.3853682577610016,0.7309635482010591
112590033.png,0.3998034596443176,0.6605255934876757
112590003.png,0.4101243019104004,0.6987029757855473
112590052.png,0.41155511140823364,0.5215458222131443
110820009.png,0.4242675304412842,0.6000964811555295
112590012.png,0.4305460453033447,0.708927210216968
112590030.png,0.4371196925640106,0.6068288290070151
112590018.png,0.4435322880744934,0.48704292877302785
112590024.png,0.4511827230453491,0.5244322588518032
112590053.png,0.45121440291404724,0.5396541965971379
110590041.png,0.455039918422699,0.6464516253529468
